Search	VideoID	PublishedAt	ChannelId	ChannelTitle	Title	Description
Webometria	f7-8pNjEFkM	2020-07-20T18:21:23Z	UCR4mP_m4vECz7MHCf-uhI7w	Estudos Métricos da Informação	Adilson Luiz Pinto: Webometria	Definição, tipos de indicadores e aplicações webométricos.
Webometria	ir1cCZSEfX0	2020-09-29T01:59:14Z	UCR4mP_m4vECz7MHCf-uhI7w	Estudos Métricos da Informação	Webometria Matutino	
Webometria	bvhvhpKBjMI	2020-07-22T08:34:30Z	UCKaq7mgeLd2bSM4zfZEnmAw	7 EBBC SALVADOR 2020	WEBOMETRIA E ALTMETRIA	
Webometria	l8S5aqDUB9o	2017-07-03T01:01:01Z	UC93RdgleniGzB7SXh4CZkkw	Biblio em Foco	BIBLIO O QUÊ? - Estudos Métricos	A professora de biblioteconomia da Universidade Federal de Goiás, Ilaydiany de Oliveira, explica de forma rápida e simples o ...
Webometria	M9wgPgdC3P0	2020-11-10T15:58:24Z	UCsM9xEKKY6xvePYgIBxFY_w	dicas da Pro Áquila	Bibliometria, Cientometria,  Informetria, Webometria e Cibermetria - DEFINIÇÃO DOS TERMOS	BIBLIOMETRIA, CIENTOMETRIA, INFORMETRIA, WEBOMETRIA E CIBERMETRIA - DEFINIÇÃO DOS TERMOS Áquila Porfirio ...
Webometria	Gzdj_4x_Nnw	2019-10-27T17:31:12Z	UCK8X8vDIH5xDVOboTEZ3Eog	Story Thai	Webometria: Perfil dos Sites das Empresas Sustentáveis	Apresentação do projeto de Iniciação Científica - Webometria: Perfil dos Sites das Empresas Sustentáveis no VII Simpósio ...
Webometria	QrADpwTyezI	2015-05-21T19:28:19Z	UChMmRDKA9xJTDChDb-RgCjw	Inova Ufabc	Sistema de informação cientométrica: Vitrine Tecnológica	
Webometria	-7M_vecWHvA	2022-10-17T14:38:02Z	UCkKv4NEHLkW6YFrLCc4d_uw	Bibliotecas UFF	Bibliometria e Cientometria: conceitos e aplicações	Programação da Agenda Acadêmica 2022 O Sistema de Bibliotecas da UFF está com uma programação para a Agenda ...
Webometria	gxERGmLbPH4	2021-12-21T17:00:34Z	UC1oiThlLQPJrPyPCF6jykag	Ciência em suma	Cientometria e a sua importância para políticas científicas	Nesse vídeo eu falo sobre a Cientometria, que também é chamada de Cienciometria, um campo da Ciência que está relacionado ...
Webometria	LNvCwuzpTns	2020-10-07T00:19:39Z	UCR4mP_m4vECz7MHCf-uhI7w	Estudos Métricos da Informação	Sociometria e Altmetria	
Webometria	zWUxnViATWg	2020-05-07T13:50:20Z	UCy7WlDHtWKrEi_DbxFD89Cg	Academia Inovar (AcademiaInovar7)	Curso de Bibliometria e Revisão Sistemática da Literatura - Visão Geral	Seja bem muito vindo ao canal Academia Inovar! Aqui abordamos Pesquisa e Inovação! =============== Este curso de ...
Webometria	nUD-95-4WIc	2020-11-26T05:43:45Z	UCSBGdGf9aCvPdveBbeuwzkg	Paola Hospital	Bibliometria, Cienciometria e Informetria	
Webometria	RB-ycwXJ6C4	2020-09-24T14:33:29Z	UCOr5jv2lWtdvwCC2cfdvKyQ	GICA	Estudos Métricos da Informação: uma abordagem teórica-conceitual	Aula aberta da disciplina de Seminários de Pesquisa em Biblioteconomia do Curso de Biblioteconomia da Universidade Federal ...
Webometria	mnNyAEUAGuk	2020-07-07T21:16:10Z	UCR4mP_m4vECz7MHCf-uhI7w	Estudos Métricos da Informação	Adilson Luiz Pinto: Cientometria	Definição da Cientometria.
Webometria	Lu16Lc_vMAA	2023-09-28T07:32:47Z	UCu55I4Qpp2nBYWu5-qftkZw	NEPECON UnB	Cientometria:  uso do VOSVIEWER na contabilidade	Resp. Fátima de Souza Freire Nilton Oliveira da Silva Dia: 27/09/2023 Canal youtube: nepecon Hora: A partir das 15 horas.
Webometria	jYXYzRPQwh8	2021-02-24T00:35:52Z	UCAyfzf5Kr8LQwSOPxbyvSZQ	Prof. Ana Patrícia	Estudos métricos da informação	com Professora Ilaydiany (@profa.ilaydiany) INSCREVA-SE para assistir o aulão gratuito toda semana Terça-feira, às 20h ...
Webometria	ypQP5AoXC40	2020-07-07T20:56:04Z	UCR4mP_m4vECz7MHCf-uhI7w	Estudos Métricos da Informação	Adilson Luiz Pinto: Informetria	Contextualização da Informetria.
Webometria	VXC_eTMKLNw	2020-08-18T15:00:08Z	UCMjYYy-2ZR8UPcCY8QHP_CA	Acadêmica	O que é um artigo seminal? - Pesquisa na Prática #71	O artigo seminal é aquele que 'planta a semente' de um conceito ou ideia! Confira esse episódio de Pesquisa na Prática, onde a ...
Webometria	0cKk7Ikrp3Y	2021-05-28T19:54:49Z	UCR4mP_m4vECz7MHCf-uhI7w	Estudos Métricos da Informação	A bibliometria e a literatura científica: estratégias baseadas em métricas	Palestra com o doutor Rogério Mugnaini.
Webometria	E57EGKBjmvM	2018-01-10T22:05:45Z	UCs9U_S-H3g6E27gn3PUtWiQ	rafael dias	TRABALHO BIBLIOMETRIA ORGANIZAÇÃO INDUSTRIAL	
Webometria	BQ7Jy_w3uIA	2020-07-04T07:35:37Z	UCbOYgKNm3BOUoeA_jbE5-Gg	PPgECi UFRGS	LIVE: Bibliometria e Cientometria	Live com a pós-doc Ediane Gheno sobre como a bibliometria e a cientometria foram parar nas mãos das agências de fomento e ...
Webometria	xT3gSQzDKqw	2022-06-13T22:00:31Z	UCInI5Z9hrDGIwAs-0fS5zNA	Sua Pesquisa Científica - por Dra. Natácia Lima	Para quem é a cienciometria e como entendê-la?	A cienciometria é uma aceleradora de resultados. Você pode utilizar essa abordagem para elaborar capítulos de tese, qualificar, ...
Webometria	Ng7-0WQVLvY	2020-08-07T15:35:42Z	UCR4mP_m4vECz7MHCf-uhI7w	Estudos Métricos da Informação	Adilson Luiz Pinto: Altmetria	Introdução a altmetria.
Webometria	OWm2REB6ARk	2023-09-13T13:47:04Z	UC839t_UxwgprfzItjxRrOsQ	Ciência da Informação Express	Estudo cientométrico sobre a questão racial nas pesquisas em educação em Minas Gerais	Estudo cientométrico sobre a questão racial nas pesquisas em educação em Minas Gerais: palavras-chaves mais utilizadas e ...
Webometria	0LCe8KWSmIU	2022-06-07T20:21:25Z	UCInI5Z9hrDGIwAs-0fS5zNA	Sua Pesquisa Científica - por Dra. Natácia Lima	Descubra o que é a CIENCIOMETRIA	A cienciometria investiga características quantitativas da ciência e da pesquisa científica. É uma excelente alternativa para ...
Webometria	9Gu7iYSYTl8	2020-08-14T07:12:57Z	UCQB-AtvWOhL_FaWhfxuqVTw	EOOCI	Análise do uso do tema Cientometria em artigos indexados na BRAPCI	Com Profa. Dra. Michely Jabala Mamede Vogel (PPGCI/UFF) Buscas pelos termos Bibliometria e Cientometria em bases de ...
Webometria	OstmOxkcskU	2020-09-16T12:20:22Z	UCR4mP_m4vECz7MHCf-uhI7w	Estudos Métricos da Informação	Cientometria	
Webometria	KQ-dqiN5dzE	2020-10-30T09:14:36Z	UC9QDOWIkNW8cDSdhTZHiT6Q	Biblioteca CCA	Webinar - Conceitos e fundamentos da Altmetria	A bibliotecária Dra. Iara Vidal (FGV) conversa sobre métricas alternativas - como os resultados das pesquisas são vistos e ...
Webometria	QSjBwhmtn7c	2020-10-21T06:51:37Z	UCT0o3C9JhMnnY74YLplCa0w	SiBi UFPR 	Webconferência Estudos Métricos da Informação - Paula Carina de Araújo - 20/10/2020	Webconferência Estudos Métricos da Informação Palestrante: Paula Carina de Araújo Slides disponíveis no RDI/UFPR: ...
Webometria	8yENSveeidk	2023-08-13T04:04:18Z	UCInI5Z9hrDGIwAs-0fS5zNA	Sua Pesquisa Científica - por Dra. Natácia Lima	O método imbatível pra qualquer pessoa produzir um artigo científico: cienciometria	Neste vídeo, eu vou te ensinar sobre a metodologia imbatível para qualquer pessoa produzir um artigo científico: a cienciometria.
Webometria	WfM2hZk8zwQ	2018-09-19T23:50:08Z	UCsCHJwzcZDpzcWv4gieRJww	LMG Records	Qué es Cibermetria Breve Conceptos	Created using Powtoon -- Free sign up at http://www.powtoon.com/youtube/ -- Create animated videos and animated ...
Webometria	7X-HzflkfA8	2021-03-30T17:21:03Z	UC0o9Jxbot65SIZ8-0O0dq5g	Carlos Alberto Ávila Araújo	Altmetria - por Alexsandra, Gabrielle e Richardson	Trabalho dos alunos de Fundamentos da Ciência da Informação sobre altmetria.
Webometria	6NsIffSWd54	2022-06-10T15:00:03Z	UCInI5Z9hrDGIwAs-0fS5zNA	Sua Pesquisa Científica - por Dra. Natácia Lima	Qual é a primeira etapa de uma pesquisa com cienciometria?	Neste corte explico para você qual é a primeira etapa de um estudo cienciométrico e os detalhes nos quais você precisa se ...
Webometria	5WQAa_CnP6U	2021-09-03T12:00:11Z	UCVIBZHlLiYcVEntBrJykvOA	ConBraPA Conferência Brasileira de Plan. Exp. e Análise de Dados	ConBraPA2020 - Minicurso de Cientometria por Luís Fabiano Farias Borges / CAPES	1ª Conferência Brasileira de Planejamento Experimental e Análise de Dados Minicurso: Cientometria Ministrante: M.Sc. Luís ...
